ICD-10-CM Codes,Description,Tags
C328,Malignant neoplasm of overlapping sites of larynx,
C329,"Malignant neoplasm of larynx, unspecified",
C33,Malignant neoplasm of trachea,
C3400,Malignant neoplasm of unspecified main bronchus,
C3401,Malignant neoplasm of right main bronchus,
C3402,Malignant neoplasm of left main bronchus,
C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",
C342,"Malignant neoplasm of middle lobe, bronchus or lung",
C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",
C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",
C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,
C3481,Malignant neoplasm of overlapping sites of right bronchus and lung,
C3482,Malignant neoplasm of overlapping sites of left bronchus and lung,
C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,
C3491,Malignant neoplasm of unspecified part of right bronchus or lung,
C3492,Malignant neoplasm of unspecified part of left bronchus or lung,
C37,Malignant neoplasm of thymus,
C380,Malignant neoplasm of heart,
C381,Malignant neoplasm of anterior mediastinum,
C382,Malignant neoplasm of posterior mediastinum,
C383,"Malignant neoplasm of mediastinum, part unspecified",
C384,Malignant neoplasm of pleura,
C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",
C390,"Malignant neoplasm of upper respiratory tract, part unspecified",
C399,"Malignant neoplasm of lower respiratory tract, part unspecified",
C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb,
C4001,Malignant neoplasm of scapula and long bones of right upper limb,
C4002,Malignant neoplasm of scapula and long bones of left upper limb,
C4010,Malignant neoplasm of short bones of unspecified upper limb,
C4011,Malignant neoplasm of short bones of right upper limb,
C4012,Malignant neoplasm of short bones of left upper limb,
C4020,Malignant neoplasm of long bones of unspecified lower limb,
C4021,Malignant neoplasm of long bones of right lower limb,
C4022,Malignant neoplasm of long bones of left lower limb,
C4030,Malignant neoplasm of short bones of unspecified lower limb,
C4031,Malignant neoplasm of short bones of right lower limb,
C4032,Malignant neoplasm of short bones of left lower limb,
C4080,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,
C4081,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,
C4082,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,
C4090,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,
C4091,Malignant neoplasm of unspecified bones and articular cartilage of right limb,
C4092,Malignant neoplasm of unspecified bones and articular cartilage of left limb,
C410,Malignant neoplasm of bones of skull and face,
C411,Malignant neoplasm of mandible,
C412,Malignant neoplasm of vertebral column,
C413,"Malignant neoplasm of ribs, sternum and clavicle",
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx",
C419,"Malignant neoplasm of bone and articular cartilage, unspecified",
C430,Malignant melanoma of lip,
C4310,"Malignant melanoma of unspecified eyelid, including canthus",
C43111,"Malignant melanoma of right upper eyelid, including canthus",
C43112,"Malignant melanoma of right lower eyelid, including canthus",
C43121,"Malignant melanoma of left upper eyelid, including canthus",
C43122,"Malignant melanoma of left lower eyelid, including canthus",
C4320,Malignant melanoma of unspecified ear and external auricular canal,
C4321,Malignant melanoma of right ear and external auricular canal,
C4322,Malignant melanoma of left ear and external auricular canal,
C4330,Malignant melanoma of unspecified part of face,
C4331,Malignant melanoma of nose,
C4339,Malignant melanoma of other parts of face,
C434,Malignant melanoma of scalp and neck,
C4351,Malignant melanoma of anal skin,
C4352,Malignant melanoma of skin of breast,
C4359,Malignant melanoma of other part of trunk,
C4360,"Malignant melanoma of unspecified upper limb, including shoulder",
C4361,"Malignant melanoma of right upper limb, including shoulder",
C4362,"Malignant melanoma of left upper limb, including shoulder",
C4370,"Malignant melanoma of unspecified lower limb, including hip",
C4371,"Malignant melanoma of right lower limb, including hip",
C4372,"Malignant melanoma of left lower limb, including hip",
C438,Malignant melanoma of overlapping sites of skin,
C439,"Malignant melanoma of skin, unspecified",
C450,Mesothelioma of pleura,
C451,Mesothelioma of peritoneum,
C452,Mesothelioma of pericardium,
C457,Mesothelioma of other sites,
C459,"Mesothelioma, unspecified",
C460,Kaposi's sarcoma of skin,
C461,Kaposi's sarcoma of soft tissue,
C462,Kaposi's sarcoma of palate,
C463,Kaposi's sarcoma of lymph nodes,
C464,Kaposi's sarcoma of gastrointestinal sites,
C4650,Kaposi's sarcoma of unspecified lung,
C4651,Kaposi's sarcoma of right lung,
C4652,Kaposi's sarcoma of left lung,
C467,Kaposi's sarcoma of other sites,
C469,"Kaposi's sarcoma, unspecified",
C470,"Malignant neoplasm of peripheral nerves of head, face and neck",
C4710,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",
C4711,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",
C4712,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",
C4720,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",
C4721,"Malignant neoplasm of peripheral nerves of right lower limb, including hip",
C4722,"Malignant neoplasm of peripheral nerves of left lower limb, including hip",
C473,Malignant neoplasm of peripheral nerves of thorax,
C474,Malignant neoplasm of peripheral nerves of abdomen,
C475,Malignant neoplasm of peripheral nerves of pelvis,
C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified",
C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,
C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",
C480,Malignant neoplasm of retroperitoneum,
C481,Malignant neoplasm of specified parts of peritoneum,
C482,"Malignant neoplasm of peritoneum, unspecified",
C488,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,
C490,"Malignant neoplasm of connective and soft tissue of head, face and neck",
C4910,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",
C4911,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",
C4912,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",
C4920,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",
C4921,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",
C4922,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",
C493,Malignant neoplasm of connective and soft tissue of thorax,
C494,Malignant neoplasm of connective and soft tissue of abdomen,
C495,Malignant neoplasm of connective and soft tissue of pelvis,
C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",
C498,Malignant neoplasm of overlapping sites of connective and soft tissue,
C499,"Malignant neoplasm of connective and soft tissue, unspecified",
C49A0,"Gastrointestinal stromal tumor, unspecified site",
C49A1,Gastrointestinal stromal tumor of esophagus,
C49A2,Gastrointestinal stromal tumor of stomach,
C49A3,Gastrointestinal stromal tumor of small intestine,
C49A4,Gastrointestinal stromal tumor of large intestine,
C49A5,Gastrointestinal stromal tumor of rectum,
C49A9,Gastrointestinal stromal tumor of other sites,
C4A0,Merkel cell carcinoma of lip,
C4A10,"Merkel cell carcinoma of unspecified eyelid, including canthus",
C4A111,"Merkel cell carcinoma of right upper eyelid, including canthus",
C4A112,"Merkel cell carcinoma of right lower eyelid, including canthus",
C4A121,"Merkel cell carcinoma of left upper eyelid, including canthus",
C4A122,"Merkel cell carcinoma of left lower eyelid, including canthus",
C4A20,Merkel cell carcinoma of unspecified ear and external auricular canal,
C4A21,Merkel cell carcinoma of right ear and external auricular canal,
C4A22,Merkel cell carcinoma of left ear and external auricular canal,
C4A30,Merkel cell carcinoma of unspecified part of face,
C4A31,Merkel cell carcinoma of nose,
C4A39,Merkel cell carcinoma of other parts of face,
C4A4,Merkel cell carcinoma of scalp and neck,
C4A51,Merkel cell carcinoma of anal skin,
C4A52,Merkel cell carcinoma of skin of breast,
C4A59,Merkel cell carcinoma of other part of trunk,
C4A60,"Merkel cell carcinoma of unspecified upper limb, including shoulder",
C4A61,"Merkel cell carcinoma of right upper limb, including shoulder",
C4A62,"Merkel cell carcinoma of left upper limb, including shoulder",
C4A70,"Merkel cell carcinoma of unspecified lower limb, including hip",
C4A71,"Merkel cell carcinoma of right lower limb, including hip",
C4A72,"Merkel cell carcinoma of left lower limb, including hip",
C4A8,Merkel cell carcinoma of overlapping sites,
C4A9,"Merkel cell carcinoma, unspecified",
C50011,"Malignant neoplasm of nipple and areola, right female breast",
C50012,"Malignant neoplasm of nipple and areola, left female breast",
C50019,"Malignant neoplasm of nipple and areola, unspecified female breast",
C50021,"Malignant neoplasm of nipple and areola, right male breast",
C50022,"Malignant neoplasm of nipple and areola, left male breast",
C50029,"Malignant neoplasm of nipple and areola, unspecified male breast",
C50111,Malignant neoplasm of central portion of right female breast,
C50112,Malignant neoplasm of central portion of left female breast,
C50119,Malignant neoplasm of central portion of unspecified female breast,
C50121,Malignant neoplasm of central portion of right male breast,
C50122,Malignant neoplasm of central portion of left male breast,
C50129,Malignant neoplasm of central portion of unspecified male breast,
C50211,Malignant neoplasm of upper-inner quadrant of right female breast,
C50212,Malignant neoplasm of upper-inner quadrant of left female breast,
C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,
C50221,Malignant neoplasm of upper-inner quadrant of right male breast,
C50222,Malignant neoplasm of upper-inner quadrant of left male breast,
C50229,Malignant neoplasm of upper-inner quadrant of unspecified male breast,
C50311,Malignant neoplasm of lower-inner quadrant of right female breast,
C50312,Malignant neoplasm of lower-inner quadrant of left female breast,
C50319,Malignant neoplasm of lower-inner quadrant of unspecified female breast,
C50321,Malignant neoplasm of lower-inner quadrant of right male breast,
C50322,Malignant neoplasm of lower-inner quadrant of left male breast,
C50329,Malignant neoplasm of lower-inner quadrant of unspecified male breast,
C50411,Malignant neoplasm of upper-outer quadrant of right female breast,
C50412,Malignant neoplasm of upper-outer quadrant of left female breast,
C50419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,
C50421,Malignant neoplasm of upper-outer quadrant of right male breast,
C50422,Malignant neoplasm of upper-outer quadrant of left male breast,
C50429,Malignant neoplasm of upper-outer quadrant of unspecified male breast,
C50511,Malignant neoplasm of lower-outer quadrant of right female breast,
C50512,Malignant neoplasm of lower-outer quadrant of left female breast,
C50519,Malignant neoplasm of lower-outer quadrant of unspecified female breast,
C50521,Malignant neoplasm of lower-outer quadrant of right male breast,
C50522,Malignant neoplasm of lower-outer quadrant of left male breast,
C50529,Malignant neoplasm of lower-outer quadrant of unspecified male breast,
C50611,Malignant neoplasm of axillary tail of right female breast,
C50612,Malignant neoplasm of axillary tail of left female breast,
C50619,Malignant neoplasm of axillary tail of unspecified female breast,
C50621,Malignant neoplasm of axillary tail of right male breast,
C50622,Malignant neoplasm of axillary tail of left male breast,
C50629,Malignant neoplasm of axillary tail of unspecified male breast,
C50811,Malignant neoplasm of overlapping sites of right female breast,
C50812,Malignant neoplasm of overlapping sites of left female breast,
C50819,Malignant neoplasm of overlapping sites of unspecified female breast,
C50821,Malignant neoplasm of overlapping sites of right male breast,
C50822,Malignant neoplasm of overlapping sites of left male breast,
C50829,Malignant neoplasm of overlapping sites of unspecified male breast,
C50911,Malignant neoplasm of unspecified site of right female breast,
C50912,Malignant neoplasm of unspecified site of left female breast,
C50919,Malignant neoplasm of unspecified site of unspecified female breast,
C50921,Malignant neoplasm of unspecified site of right male breast,
C50922,Malignant neoplasm of unspecified site of left male breast,
C50929,Malignant neoplasm of unspecified site of unspecified male breast,
C510,Malignant neoplasm of labium majus,
C511,Malignant neoplasm of labium minus,
C512,Malignant neoplasm of clitoris,
C518,Malignant neoplasm of overlapping sites of vulva,
C519,"Malignant neoplasm of vulva, unspecified",
C52,Malignant neoplasm of vagina,
C530,Malignant neoplasm of endocervix,
C531,Malignant neoplasm of exocervix,
C538,Malignant neoplasm of overlapping sites of cervix uteri,
C539,"Malignant neoplasm of cervix uteri, unspecified",
C540,Malignant neoplasm of isthmus uteri,
C541,Malignant neoplasm of endometrium,
C542,Malignant neoplasm of myometrium,
C543,Malignant neoplasm of fundus uteri,
C548,Malignant neoplasm of overlapping sites of corpus uteri,
C549,"Malignant neoplasm of corpus uteri, unspecified",
C55,"Malignant neoplasm of uterus, part unspecified",
C561,Malignant neoplasm of right ovary,
C562,Malignant neoplasm of left ovary,
C563,Malignant neoplasm of bilateral ovaries,
C569,Malignant neoplasm of unspecified ovary,
C5700,Malignant neoplasm of unspecified fallopian tube,
C5701,Malignant neoplasm of right fallopian tube,
C5702,Malignant neoplasm of left fallopian tube,
C5710,Malignant neoplasm of unspecified broad ligament,
C5711,Malignant neoplasm of right broad ligament,
C5712,Malignant neoplasm of left broad ligament,
C5720,Malignant neoplasm of unspecified round ligament,
C5721,Malignant neoplasm of right round ligament,
C5722,Malignant neoplasm of left round ligament,
C573,Malignant neoplasm of parametrium,
C574,"Malignant neoplasm of uterine adnexa, unspecified",
C577,Malignant neoplasm of other specified female genital organs,
C578,Malignant neoplasm of overlapping sites of female genital organs,
C579,"Malignant neoplasm of female genital organ, unspecified",
C58,Malignant neoplasm of placenta,
C600,Malignant neoplasm of prepuce,
C601,Malignant neoplasm of glans penis,
C602,Malignant neoplasm of body of penis,
C608,Malignant neoplasm of overlapping sites of penis,
C609,"Malignant neoplasm of penis, unspecified",
C61,Malignant neoplasm of prostate,
C6200,Malignant neoplasm of unspecified undescended testis,
C6201,Malignant neoplasm of undescended right testis,
C6202,Malignant neoplasm of undescended left testis,
C6210,Malignant neoplasm of unspecified descended testis,
C6211,Malignant neoplasm of descended right testis,
C6212,Malignant neoplasm of descended left testis,
C6290,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",
C6291,"Malignant neoplasm of right testis, unspecified whether descended or undescended",
C6292,"Malignant neoplasm of left testis, unspecified whether descended or undescended",
C6300,Malignant neoplasm of unspecified epididymis,
C6301,Malignant neoplasm of right epididymis,
C6302,Malignant neoplasm of left epididymis,
C6310,Malignant neoplasm of unspecified spermatic cord,
C6311,Malignant neoplasm of right spermatic cord,
C6312,Malignant neoplasm of left spermatic cord,
C632,Malignant neoplasm of scrotum,
C637,Malignant neoplasm of other specified male genital organs,
C638,Malignant neoplasm of overlapping sites of male genital organs,
C639,"Malignant neoplasm of male genital organ, unspecified",
C641,"Malignant neoplasm of right kidney, except renal pelvis",
C642,"Malignant neoplasm of left kidney, except renal pelvis",
C649,"Malignant neoplasm of unspecified kidney, except renal pelvis",
C651,Malignant neoplasm of right renal pelvis,
C652,Malignant neoplasm of left renal pelvis,
C659,Malignant neoplasm of unspecified renal pelvis,
C661,Malignant neoplasm of right ureter,
C662,Malignant neoplasm of left ureter,
C669,Malignant neoplasm of unspecified ureter,
C670,Malignant neoplasm of trigone of bladder,
C671,Malignant neoplasm of dome of bladder,
C672,Malignant neoplasm of lateral wall of bladder,
C673,Malignant neoplasm of anterior wall of bladder,
C674,Malignant neoplasm of posterior wall of bladder,
C675,Malignant neoplasm of bladder neck,
C676,Malignant neoplasm of ureteric orifice,
C677,Malignant neoplasm of urachus,
C678,Malignant neoplasm of overlapping sites of bladder,
C679,"Malignant neoplasm of bladder, unspecified",
C680,Malignant neoplasm of urethra,
C681,Malignant neoplasm of paraurethral glands,
C688,Malignant neoplasm of overlapping sites of urinary organs,
C689,"Malignant neoplasm of urinary organ, unspecified",
C6900,Malignant neoplasm of unspecified conjunctiva,
C6901,Malignant neoplasm of right conjunctiva,
C6902,Malignant neoplasm of left conjunctiva,
C6910,Malignant neoplasm of unspecified cornea,
C6911,Malignant neoplasm of right cornea,
C6912,Malignant neoplasm of left cornea,
C6920,Malignant neoplasm of unspecified retina,
C6921,Malignant neoplasm of right retina,
C6922,Malignant neoplasm of left retina,
C6930,Malignant neoplasm of unspecified choroid,
C6931,Malignant neoplasm of right choroid,
C6932,Malignant neoplasm of left choroid,
C6940,Malignant neoplasm of unspecified ciliary body,
C6941,Malignant neoplasm of right ciliary body,
C6942,Malignant neoplasm of left ciliary body,
C6950,Malignant neoplasm of unspecified lacrimal gland and duct,
C6951,Malignant neoplasm of right lacrimal gland and duct,
C6952,Malignant neoplasm of left lacrimal gland and duct,
C6960,Malignant neoplasm of unspecified orbit,
C6961,Malignant neoplasm of right orbit,
C6962,Malignant neoplasm of left orbit,
C6980,Malignant neoplasm of overlapping sites of unspecified eye and adnexa,
C6981,Malignant neoplasm of overlapping sites of right eye and adnexa,
C6982,Malignant neoplasm of overlapping sites of left eye and adnexa,
C6990,Malignant neoplasm of unspecified site of unspecified eye,
C6991,Malignant neoplasm of unspecified site of right eye,
C6992,Malignant neoplasm of unspecified site of left eye,
C700,Malignant neoplasm of cerebral meninges,
C701,Malignant neoplasm of spinal meninges,
C709,"Malignant neoplasm of meninges, unspecified",
C710,"Malignant neoplasm of cerebrum, except lobes and ventricles",
C711,Malignant neoplasm of frontal lobe,
C712,Malignant neoplasm of temporal lobe,
C713,Malignant neoplasm of parietal lobe,
C714,Malignant neoplasm of occipital lobe,
C715,Malignant neoplasm of cerebral ventricle,
C716,Malignant neoplasm of cerebellum,
C717,Malignant neoplasm of brain stem,
C718,Malignant neoplasm of overlapping sites of brain,
C719,"Malignant neoplasm of brain, unspecified",
C720,Malignant neoplasm of spinal cord,
C721,Malignant neoplasm of cauda equina,
C7220,Malignant neoplasm of unspecified olfactory nerve,
C7221,Malignant neoplasm of right olfactory nerve,
C7222,Malignant neoplasm of left olfactory nerve,
C7230,Malignant neoplasm of unspecified optic nerve,
C7231,Malignant neoplasm of right optic nerve,
C7232,Malignant neoplasm of left optic nerve,
C7240,Malignant neoplasm of unspecified acoustic nerve,
C7241,Malignant neoplasm of right acoustic nerve,
